mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
32.4,4,107.0,67,2290,17.0,80,3
27.2,4,135.0,78,2490,15.7,81,1
26.6,4,151.0,78,2635,16.4,81,1
25.8,4,156.0,86,2620,14.4,81,1
23.5,6,173.0,6,2725,12.6,81,1
30.0,4,135.0,78,2385,12.9,81,1
39.1,4,79.0,54,1755,16.9,81,3
39.0,4,86.0,59,1875,16.4,81,1
35.1,4,81.0,55,1760,16.1,81,3
32.3,4,97.0,62,2065,17.8,81,3
37.0,4,85.0,60,1975,19.4,81,3
37.7,4,89.0,57,2050,17.3,81,3
34.1,4,91.0,63,1985,16.0,81,3
34.7,4,105.0,58,2215,14.9,81,1
34.4,4,98.0,60,2045,16.2,81,1
29.9,4,98.0,60,2380,20.7,81,1
33.0,4,105.0,68,2190,14.2,81,2
34.5,4,100.0,93,2320,15.8,81,2
33.7,4,107.0,69,2210,14.4,81,3
32.4,4,108.0,69,2350,16.8,81,3
32.9,4,119.0,0,2615,14.8,81,3
31.6,4,120.0,68,2635,18.3,81,3
28.1,4,141.0,74,3230,20.4,81,2
30.7,6,145.0,70,3160,19.6,81,2
25.4,6,168.0,10,2900,12.6,81,3
24.2,6,146.0,11,2930,13.8,81,3
22.4,6,231.0,6,3415,15.8,81,1
26.6,8,350.0,3,3725,19.0,81,1
20.2,6,200.0,82,3060,17.1,81,1
17.6,6,225.0,79,3465,16.6,81,1
28.0,4,112.0,82,2605,19.6,82,1
27.0,4,112.0,82,2640,18.6,82,1
34.0,4,112.0,82,2395,18.0,82,1
31.0,4,112.0,79,2575,16.2,82,1
29.0,4,135.0,78,2525,16.0,82,1
27.0,4,151.0,84,2735,18.0,82,1
24.0,4,140.0,86,2865,16.4,82,1
23.0,4,151.0,93,3035,20.5,82,1
36.0,4,105.0,68,1980,15.3,82,2
37.0,4,91.0,63,2025,18.2,82,3
31.0,4,91.0,63,1970,17.6,82,3
38.0,4,105.0,58,2125,14.7,82,1
36.0,4,98.0,65,2125,17.3,82,1
36.0,4,120.0,82,2160,14.5,82,3
36.0,4,107.0,69,2205,14.5,82,3
34.0,4,108.0,65,2245,16.9,82,3
38.0,4,91.0,62,1965,15.0,82,3
32.0,4,91.0,62,1965,15.7,82,3
38.0,4,91.0,62,1995,16.2,82,3
25.0,6,181.0,6,2945,16.4,82,1
38.0,6,262.0,79,3015,17.0,82,1
26.0,4,156.0,86,2585,14.5,82,1
22.0,6,232.0,7,2835,14.7,82,1
32.0,4,144.0,90,2665,13.9,82,3
36.0,4,135.0,78,2370,13.0,82,1
27.0,4,151.0,84,2950,17.3,82,1
27.0,4,140.0,80,2790,15.6,82,1
44.0,4,97.0,51,2130,24.6,82,2
32.0,4,135.0,78,2295,11.6,82,1
28.0,4,120.0,73,2625,18.6,82,1
31.0,4,119.0,76,2720,19.4,82,1
